Country,Item Type,Order Priority,Units Sold,Unit Price,Unit Cost,Year,Order Date
Iceland,Cereal,L,3637,205.7,117.11,2015,1-2-2015
Iceland,Clothes,L,508,109.28,35.84,2017,1-8-2017
Turkey,Cereal,H,1190,205.7,117.11,2017,1-4-2017
Iceland,Cereal,M,8017,205.7,117.11,2016,6-5-2016
Iceland,Cereal,H,8146,205.7,117.11,2016,2-1-2016
Norway,Meat,L,6281,421.89,364.69,2015,10-1-2015
Iceland,Cereal,L,6014,205.7,117.11,2015,2-9-2015
Turkey,Vegetables,C,6751,154.06,90.93,2015,10-6-2015
Norway,Clothes,H,6063,109.28,35.84,2015,8-9-2015
Germany,Clothes,L,5148,109.28,35.84,2015,4-1-2015
Finland,Vegetables,L,7869,154.06,90.93,2017,3-2-2017
Iceland,Meat,C,536,421.89,364.69,2016,3-11-2016
Iceland,Clothes,M,9138,109.28,35.84,2015,1-11-2015
Finland,Meat,C,4652,421.89,364.69,2015,1-4-2015
Norway,Meat,H,2951,421.89,364.69,2015,9-8-2015
Finland,Clothes,C,7280,109.28,35.84,2016,2-9-2016
Iceland,Meat,H,9852,421.89,364.69,2016,8-2-2016
Turkey,Clothes,M,4413,109.28,35.84,2015,12-9-2015
Finland,Cereal,H,1836,205.7,117.11,2017,1-5-2017
Turkey,Cereal,L,9701,205.7,117.11,2015,3-4-2015
Norway,Clothes,H,7562,109.28,35.84,2017,4-4-2017
Turkey,Cereal,L,6521,205.7,117.11,2015,8-12-2015
Turkey,Clothes,C,1708,109.28,35.84,2016,12-11-2016
Turkey,Vegetables,M,2867,154.06,90.93,2015,10-3-2015
Finland,Vegetables,M,7050,154.06,90.93,2017,4-2-2017
Iceland,Vegetables,L,6965,154.06,90.93,2016,3-3-2016
Iceland,Meat,H,4958,421.89,364.69,2015,9-9-2015
Iceland,Cereal,H,5201,205.7,117.11,2015,11-4-2015
Germany,Cereal,H,7374,205.7,117.11,2017,3-3-2017
Turkey,Cereal,M,4955,205.7,117.11,2017,3-4-2017
Germany,Cereal,L,1506,205.7,117.11,2016,9-8-2016
Turkey,Vegetables,M,9921,154.06,90.93,2015,7-5-2015
Norway,Clothes,M,9504,109.28,35.84,2017,4-5-2017
Norway,Cereal,M,9421,205.7,117.11,2017,6-4-2017
Germany,Clothes,H,7456,109.28,35.84,2017,1-2-2017
Turkey,Vegetables,C,5305,154.06,90.93,2017,3-3-2017
Finland,Vegetables,C,468,154.06,90.93,2016,7-4-2016
Turkey,Cereal,L,4112,205.7,117.11,2017,4-1-2017
Germany,Vegetables,L,8513,154.06,90.93,2016,6-4-2016
Germany,Cereal,L,1972,205.7,117.11,2017,6-11-2017
Iceland,Meat,M,2508,421.89,364.69,2016,11-8-2016
Germany,Clothes,L,6111,109.28,35.84,2015,1-8-2015
Turkey,Cereal,L,4666,205.7,117.11,2017,3-12-2017
Finland,Cereal,M,3153,205.7,117.11,2015,12-12-2015
Norway,Meat,C,8614,421.89,364.69,2017,7-7-2017
Germany,Meat,M,8577,421.89,364.69,2015,8-11-2015
Iceland,Clothes,C,4987,109.28,35.84,2017,6-12-2017
Germany,Cereal,C,7752,205.7,117.11,2016,5-3-2016
Norway,Vegetables,M,2533,154.06,90.93,2017,5-5-2017
Germany,Meat,M,3501,421.89,364.69,2017,3-1-2017
Turkey,Cereal,M,7027,205.7,117.11,2016,11-2-2016
Turkey,Vegetables,L,4401,154.06,90.93,2015,12-7-2015
Germany,Meat,H,3601,421.89,364.69,2016,3-2-2016
Iceland,Clothes,L,1705,109.28,35.84,2016,2-9-2016
Turkey,Clothes,C,4672,109.28,35.84,2015,4-4-2015
Finland,Vegetables,H,5822,154.06,90.93,2017,7-6-2017
Germany,Vegetables,M,5373,154.06,90.93,2017,5-3-2017
Iceland,Vegetables,H,1564,154.06,90.93,2016,6-10-2016
Norway,Clothes,L,1695,109.28,35.84,2016,10-9-2016
Norway,Cereal,M,867,205.7,117.11,2016,1-7-2016
Turkey,Meat,C,3580,421.89,364.69,2017,2-12-2017
Iceland,Meat,C,9498,421.89,364.69,2017,6-5-2017
Iceland,Meat,C,8158,421.89,364.69,2016,2-3-2016
Turkey,Cereal,C,8125,205.7,117.11,2016,12-1-2016
Germany,Cereal,L,1476,205.7,117.11,2016,1-12-2016
Finland,Cereal,M,5385,205.7,117.11,2015,12-5-2015
Germany,Meat,L,8944,421.89,364.69,2017,5-12-2017
Finland,Meat,C,1849,421.89,364.69,2017,1-6-2017
Iceland,Vegetables,M,5737,154.06,90.93,2016,6-5-2016
Turkey,Clothes,M,1844,109.28,35.84,2017,4-3-2017
Norway,Vegetables,C,343,154.06,90.93,2015,6-8-2015
Iceland,Clothes,H,6215,109.28,35.84,2017,3-10-2017
Germany,Cereal,L,3956,205.7,117.11,2015,7-9-2015
Iceland,Clothes,C,5879,109.28,35.84,2016,2-4-2016
Turkey,Clothes,C,2849,109.28,35.84,2015,2-6-2015
Finland,Clothes,C,1423,109.28,35.84,2015,6-9-2015
Turkey,Clothes,H,559,109.28,35.84,2016,8-1-2016
Germany,Clothes,C,8213,109.28,35.84,2015,5-5-2015
Germany,Meat,L,1015,421.89,364.69,2017,1-9-2017
Iceland,Clothes,H,7338,109.28,35.84,2017,4-11-2017
Finland,Clothes,C,5834,109.28,35.84,2017,7-7-2017
Finland,Meat,M,36,421.89,364.69,2016,9-2-2016
Turkey,Meat,H,7913,421.89,364.69,2017,6-3-2017
Finland,Vegetables,M,8012,154.06,90.93,2017,1-9-2017
Norway,Meat,C,2132,421.89,364.69,2015,10-9-2015
Finland,Clothes,L,5338,109.28,35.84,2016,2-7-2016
Germany,Vegetables,M,4966,154.06,90.93,2015,2-12-2015
Turkey,Cereal,H,2796,205.7,117.11,2015,12-3-2015
Iceland,Cereal,L,9302,205.7,117.11,2017,2-5-2017
Germany,Cereal,L,1258,205.7,117.11,2017,3-6-2017
Norway,Vegetables,M,3513,154.06,90.93,2015,3-7-2015
Norway,Clothes,H,4151,109.28,35.84,2016,4-3-2016
Norway,Cereal,H,5248,205.7,117.11,2017,6-9-2017
Norway,Clothes,M,644,109.28,35.84,2015,6-1-2015
Norway,Clothes,C,7315,109.28,35.84,2015,5-9-2015
Norway,Clothes,L,1930,109.28,35.84,2016,2-1-2016
Germany,Cereal,M,8571,205.7,117.11,2016,4-2-2016
Turkey,Clothes,M,7110,109.28,35.84,2016,9-3-2016
Norway,Clothes,C,4369,109.28,35.84,2015,2-9-2015
Germany,Meat,H,4434,421.89,364.69,2016,4-12-2016
Norway,Clothes,M,236,109.28,35.84,2015,8-4-2015
Norway,Cereal,C,520,205.7,117.11,2017,7-4-2017
Germany,Cereal,L,3738,205.7,117.11,2016,9-1-2016
Finland,Vegetables,M,7298,154.06,90.93,2016,10-5-2016
Turkey,Cereal,H,1904,205.7,117.11,2017,4-11-2017
Germany,Vegetables,M,3141,154.06,90.93,2017,5-10-2017
Finland,Cereal,M,5225,205.7,117.11,2015,8-11-2015
Norway,Meat,M,3607,421.89,364.69,2017,6-1-2017
Germany,Cereal,C,5650,205.7,117.11,2016,1-7-2016
Norway,Cereal,H,5656,205.7,117.11,2017,4-7-2017
Norway,Meat,M,2516,421.89,364.69,2015,8-3-2015
Turkey,Clothes,H,3668,109.28,35.84,2015,1-6-2015
Norway,Vegetables,C,9203,154.06,90.93,2017,4-12-2017
Turkey,Vegetables,M,2210,154.06,90.93,2016,6-2-2016
Germany,Clothes,M,8654,109.28,35.84,2016,2-2-2016
Germany,Cereal,L,4452,205.7,117.11,2016,12-6-2016
Finland,Vegetables,H,9034,154.06,90.93,2015,5-1-2015
Germany,Cereal,M,2261,205.7,117.11,2017,6-2-2017
Norway,Meat,H,1754,421.89,364.69,2016,8-8-2016
Norway,Clothes,H,366,109.28,35.84,2015,4-2-2015
Germany,Clothes,L,3790,109.28,35.84,2015,11-6-2015
Turkey,Vegetables,H,6213,154.06,90.93,2016,4-11-2016
Turkey,Meat,C,5097,421.89,364.69,2016,11-1-2016
Germany,Vegetables,M,7693,154.06,90.93,2016,7-5-2016
Iceland,Meat,C,8624,421.89,364.69,2016,11-5-2016
Germany,Clothes,C,5981,109.28,35.84,2015,5-12-2015
Norway,Vegetables,L,224,154.06,90.93,2015,8-2-2015
Norway,Vegetables,L,7278,154.06,90.93,2015,5-5-2015
Germany,Meat,L,519,421.89,364.69,2015,8-12-2015
Germany,Meat,M,6536,421.89,364.69,2016,8-7-2016
Norway,Clothes,M,6807,109.28,35.84,2016,7-10-2016
Finland,Clothes,M,9718,109.28,35.84,2017,7-11-2017
Iceland,Clothes,L,2114,109.28,35.84,2015,12-7-2015
Finland,Vegetables,L,8584,154.06,90.93,2017,6-7-2017
Finland,Clothes,M,2038,109.28,35.84,2016,9-12-2016
Germany,Meat,M,5543,421.89,364.69,2016,3-3-2016
Finland,Cereal,L,8684,205.7,117.11,2015,5-2-2015
Finland,Meat,L,1029,421.89,364.69,2017,2-6-2017
Finland,Meat,H,9540,421.89,364.69,2015,4-6-2015
Norway,Meat,H,4074,421.89,364.69,2015,10-10-2015
Finland,Clothes,L,7658,109.28,35.84,2015,4-11-2015
Germany,Cereal,C,8130,205.7,117.11,2015,7-4-2015
Finland,Meat,C,2257,421.89,364.69,2016,11-4-2016
Norway,Cereal,M,8082,205.7,117.11,2016,2-2-2016
Germany,Vegetables,H,4847,154.06,90.93,2015,4-8-2015
Germany,Meat,H,4345,421.89,364.69,2017,2-1-2017
Turkey,Cereal,C,8840,205.7,117.11,2017,3-7-2017
